iter	Passed	Remaining
0	139	69664
1	142	35586
2	146	24213
3	149	18537
4	152	15113
5	155	12830
6	159	11216
7	162	10000
8	165	9050
9	169	8291
10	172	7660
11	175	7137
12	178	6703
13	182	6327
14	185	6000
15	188	5709
16	192	5464
17	195	5238
18	198	5032
19	202	4848
20	205	4684
21	208	4533
22	211	4393
23	215	4264
24	218	4145
25	221	4042
26	224	3940
27	228	3845
28	231	3755
29	234	3673
30	238	3603
31	241	3533
32	245	3467
33	248	3403
34	251	3345
35	255	3288
36	258	3235
37	261	3183
38	265	3135
39	268	3090
40	272	3046
41	275	3004
42	278	2962
43	282	2924
44	285	2889
45	289	2852
46	292	2817
47	295	2783
48	298	2750
49	302	2718
50	305	2687
51	308	2657
52	311	2628
53	314	2600
54	318	2574
55	321	2547
56	324	2522
57	327	2497
58	331	2477
59	334	2454
60	337	2431
61	341	2410
62	344	2388
63	347	2368
64	350	2348
65	354	2327
66	357	2309
67	360	2291
68	363	2273
69	367	2254
70	370	2237
71	373	2220
72	376	2204
73	380	2187
74	383	2172
75	394	2200
76	397	2183
77	400	2167
78	403	2150
79	406	2134
80	409	2120
81	412	2105
82	416	2090
83	419	2076
84	422	2061
85	425	2048
86	428	2034
87	431	2021
88	434	2007
89	437	1994
90	441	1982
91	444	1971
92	447	1958
93	450	1946
94	453	1934
95	457	1923
96	460	1911
97	463	1900
98	466	1888
99	469	1877
100	472	1867
101	475	1856
102	478	1846
103	481	1835
104	485	1824
105	488	1814
106	491	1805
107	494	1795
108	497	1785
109	500	1774
110	504	1766
111	507	1757
112	510	1748
113	513	1739
114	516	1729
115	519	1721
116	522	1712
117	525	1702
118	529	1694
119	532	1686
120	536	1679
121	539	1671
122	542	1662
123	545	1654
124	548	1645
125	551	1637
126	554	1629
127	557	1621
128	560	1612
129	564	1605
130	567	1597
131	570	1590
132	573	1582
133	576	1574
134	579	1567
135	582	1559
136	585	1552
137	588	1544
138	591	1537
139	595	1530
140	598	1523
141	601	1516
142	604	1509
143	607	1501
144	610	1495
145	613	1488
146	617	1481
147	620	1475
148	623	1468
149	626	1462
150	630	1456
151	633	1449
152	636	1443
153	639	1436
154	642	1430
155	645	1424
156	648	1417
157	651	1411
158	655	1405
159	658	1398
160	661	1392
161	664	1386
162	667	1380
163	670	1374
164	674	1368
165	677	1362
166	680	1356
167	683	1350
168	686	1344
169	689	1338
170	692	1332
171	697	1329
172	700	1323
173	703	1317
174	706	1312
175	709	1306
176	712	1300
177	715	1295
178	718	1289
179	722	1283
180	725	1278
181	728	1273
182	731	1267
183	734	1261
184	737	1256
185	741	1251
186	744	1245
187	747	1240
188	750	1234
189	753	1229
190	756	1224
191	759	1218
192	762	1213
193	765	1208
194	769	1202
195	772	1197
196	775	1192
197	778	1187
198	781	1181
199	784	1176
200	787	1171
201	790	1166
202	793	1161
203	797	1156
204	800	1151
205	803	1146
206	806	1141
207	809	1136
208	812	1131
209	816	1126
210	819	1121
211	822	1116
212	825	1111
213	828	1106
214	831	1102
215	834	1097
216	837	1092
217	840	1087
218	844	1083
219	847	1078
220	850	1073
221	853	1068
222	856	1064
223	859	1059
224	862	1054
225	866	1050
226	869	1045
227	872	1040
228	875	1035
229	878	1031
230	882	1027
231	885	1022
232	888	1017
233	891	1013
234	894	1008
235	897	1004
236	900	999
237	903	994
238	906	990
239	910	985
240	913	981
241	916	976
242	919	972
243	922	967
244	925	963
245	928	959
246	931	954
247	935	950
248	938	945
249	941	941
250	944	936
251	947	932
252	950	928
253	954	924
254	957	920
255	960	915
256	963	911
257	966	906
258	969	902
259	973	898
260	976	893
261	979	889
262	982	885
263	985	881
264	988	876
265	991	872
266	994	868
267	997	863
268	1000	859
269	1004	855
270	1007	851
271	1010	846
272	1013	842
273	1016	838
274	1019	834
275	1022	830
276	1025	825
277	1029	821
278	1032	817
279	1035	813
280	1038	809
281	1041	805
282	1044	800
283	1047	796
284	1050	792
285	1053	788
286	1056	784
287	1059	780
288	1063	776
289	1066	772
290	1069	768
291	1072	763
292	1075	759
293	1078	755
294	1082	751
295	1085	747
296	1088	743
297	1091	739
298	1094	735
299	1097	731
300	1100	727
301	1103	723
302	1106	719
303	1109	715
304	1112	711
305	1116	707
306	1119	703
307	1122	699
308	1125	695
309	1128	691
310	1131	687
311	1134	683
312	1137	679
313	1140	675
314	1143	671
315	1147	667
316	1150	663
317	1153	659
318	1156	656
319	1159	652
320	1162	648
321	1165	644
322	1168	640
323	1171	636
324	1174	632
325	1178	628
326	1181	624
327	1184	620
328	1187	617
329	1190	613
330	1193	609
331	1197	605
332	1200	601
333	1203	598
334	1206	594
335	1209	590
336	1212	586
337	1215	582
338	1218	578
339	1222	575
340	1225	571
341	1228	567
342	1231	563
343	1234	559
344	1237	556
345	1240	552
346	1243	548
347	1246	544
348	1249	540
349	1253	537
350	1256	533
351	1259	529
352	1262	525
353	1265	521
354	1268	518
355	1272	514
356	1275	510
357	1278	507
358	1281	503
359	1284	499
360	1287	495
361	1290	492
362	1293	488
363	1297	484
364	1300	480
365	1303	477
366	1306	473
367	1309	469
368	1312	465
369	1315	462
370	1318	458
371	1321	454
372	1325	451
373	1328	447
374	1331	443
375	1334	440
376	1337	436
377	1340	432
378	1344	429
379	1347	425
380	1350	421
381	1353	418
382	1357	414
383	1360	410
384	1363	407
385	1366	403
386	1369	399
387	1372	396
388	1376	392
389	1379	389
390	1382	385
391	1386	381
392	1389	378
393	1392	374
394	1396	371
395	1399	367
396	1402	363
397	1405	360
398	1408	356
399	1412	353
400	1415	349
401	1418	345
402	1422	342
403	1425	338
404	1428	335
405	1431	331
406	1434	327
407	1437	324
408	1441	320
409	1444	317
410	1447	313
411	1450	309
412	1453	306
413	1457	302
414	1460	299
415	1463	295
416	1466	291
417	1470	288
418	1473	284
419	1477	281
420	1480	277
421	1483	274
422	1487	270
423	1490	267
424	1493	263
425	1496	259
426	1499	256
427	1502	252
428	1506	249
429	1509	245
430	1512	242
431	1515	238
432	1519	235
433	1522	231
434	1525	227
435	1528	224
436	1531	220
437	1535	217
438	1538	213
439	1541	210
440	1544	206
441	1547	203
442	1551	199
443	1554	196
444	1557	192
445	1560	188
446	1564	185
447	1567	181
448	1571	178
449	1574	174
450	1577	171
451	1580	167
452	1583	164
453	1586	160
454	1590	157
455	1593	153
456	1596	150
457	1599	146
458	1602	143
459	1606	139
460	1609	136
461	1612	132
462	1615	129
463	1618	125
464	1621	122
465	1625	118
466	1628	115
467	1631	111
468	1634	108
469	1638	104
470	1641	101
471	1644	97
472	1648	94
473	1651	90
474	1654	87
475	1657	83
476	1661	80
477	1664	76
478	1667	73
479	1670	69
480	1673	66
481	1677	62
482	1680	59
483	1683	55
484	1686	52
485	1689	48
486	1693	45
487	1696	41
488	1699	38
489	1702	34
490	1705	31
491	1709	27
492	1712	24
493	1715	20
494	1718	17
495	1721	13
